artist,title,title_index,release_year,hp,bill_year,bill_ranking,era,era_year,popularity,loudness,tempo,time,modality,danceability,energy,speechiness,instrumentalness,liveness,valence,genre
Backstreet Boys,I Want It That Way,18,1999,842,2016,1094,90s,1990-1999,77,-5.642,99.031,4,0,0.689,0.702,0.0261,0,0.159,0.484,pop
Backstreet Boys,I Want It That Way,18,1999,842,2017,1074,90s,1990-1999,77,-5.642,99.031,4,0,0.689,0.702,0.0261,0,0.159,0.484,pop
Backstreet Boys,I Want It That Way,18,1999,842,2018,901,90s,1990-1999,77,-5.642,99.031,4,0,0.689,0.702,0.0261,0,0.159,0.484,pop
Backstreet Boys,I Want It That Way,18,1999,842,2019,1014,90s,1990-1999,77,-5.642,99.031,4,0,0.689,0.702,0.0261,0,0.159,0.484,pop
Whitney Houston,I will always love you,19,1992,131,1999,131,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2000,405,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2001,476,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2002,551,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2003,537,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2004,463,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2005,636,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2006,513,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2007,483,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2008,505,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2009,505,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2010,534,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2011,687,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2012,401,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2013,433,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2014,446,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2015,381,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2016,453,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2017,484,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2018,447,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Whitney Houston,I will always love you,19,1992,131,2019,617,90s,1990-1999,76,-12.518,66.98,4,1,0.306,0.214,0.0356,5.30E-06,0.0839,0.108,pop
Michael Jackson,Billie Jean,20,1983,27,1999,173,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2000,422,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2001,310,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2002,313,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2003,315,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2004,222,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2005,239,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2006,260,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2007,370,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2008,266,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2009,27,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2010,64,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2011,96,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2012,83,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2013,132,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2014,128,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2015,126,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2016,123,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2017,113,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2018,82,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Michael Jackson,Billie Jean,20,1983,27,2019,130,oldies,1920-1989,81,-3.051,117.046,4,0,0.92,0.654,0.0401,0.0158,0.0359,0.847,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,1999,872,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2000,1263,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2001,1723,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2012,1412,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2013,1973,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2014,1883,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2015,1586,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2016,1446,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2017,1555,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2018,946,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),21,1987,872,2019,1003,oldies,1920-1989,80,-8.824,118.814,4,1,0.709,0.824,0.0453,0.000307,0.0888,0.867,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,1999,1318,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2000,1300,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2001,1689,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2002,1326,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2003,1562,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2004,1205,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2005,1314,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2006,1301,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2007,1901,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2008,1440,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2009,1837,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2010,1776,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2013,1913,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2014,1767,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Katrina & the Waves,Walking on sunshine,22,1985,1205,2015,1831,oldies,1920-1989,78,-11.97,109.902,4,1,0.596,0.869,0.037,0.173,0.0678,0.944,pop
Foster the People,Pumped Up Kicks,23,2011,1141,2015,1665,2000s,2000-2020,83,-5.849,127.975,4,0,0.733,0.71,0.0292,0.115,0.0956,0.965,rock
Foster the People,Pumped Up Kicks,23,2011,1141,2016,1680,2000s,2000-2020,83,-5.849,127.975,4,0,0.733,0.71,0.0292,0.115,0.0956,0.965,rock
Foster the People,Pumped Up Kicks,23,2011,1141,2017,1442,2000s,2000-2020,83,-5.849,127.975,4,0,0.733,0.71,0.0292,0.115,0.0956,0.965,rock
Foster the People,Pumped Up Kicks,23,2011,1141,2018,1141,2000s,2000-2020,83,-5.849,127.975,4,0,0.733,0.71,0.0292,0.115,0.0956,0.965,rock
Foster the People,Pumped Up Kicks,23,2011,1141,2019,1388,2000s,2000-2020,83,-5.849,127.975,4,0,0.733,0.71,0.0292,0.115,0.0956,0.965,rock
Eminem,Without Me,24,2002,837,2016,1087,2000s,2000-2020,82,-2.827,112.238,4,1,0.908,0.669,0.0738,0,0.237,0.662,hip hop
Eminem,Without Me,24,2002,837,2017,998,2000s,2000-2020,82,-2.827,112.238,4,1,0.908,0.669,0.0738,0,0.237,0.662,hip hop
Eminem,Without Me,24,2002,837,2018,837,2000s,2000-2020,82,-2.827,112.238,4,1,0.908,0.669,0.0738,0,0.237,0.662,hip hop
Eminem,Without Me,24,2002,837,2019,933,2000s,2000-2020,82,-2.827,112.238,4,1,0.908,0.669,0.0738,0,0.237,0.662,hip hop
